collection_folder,relative_path,filename,operation,p,train_frac,max_train_samples,input_format,weight_decay,lr,d_model,num_layers,branch_metric,branch_label_1,branch_label_2,final_train_acc,max_train_acc,min_train_acc,last_logged_epoch,n_log_points,memo_epoch,grok_epoch,grok_gap,elapsed_sec,config_id,config_changes_vs_default,is_default_like_run,notes
interesting_generalization_of_close,interesting_generalization_of_close/add_or_add_1_p97_wd2.0_lr0.001_d128_l2_tf0.5_ep5000.json,add_or_add_1_p97_wd2.0_lr0.001_d128_l2_tf0.5_ep5000.json,add_or_add_1,97,0.5,,a_op_b_eq,2.0,0.001,128,2,b_parity,odd,even,0.8728741407394409,0.8728741407394409,0.30909863114356995,5000,100,,,,96.3,add_or_add_1__p97__wd2.0__lr0.001__d128__l2__tf0.5__nfull__fmta_op_b_eq,wd=2.0,no,
interesting_generalization_of_close,interesting_generalization_of_close/add_or_add_1_p97_wd4.0_lr0.001_d128_l2_tf0.5_ep5000.json,add_or_add_1_p97_wd4.0_lr0.001_d128_l2_tf0.5_ep5000.json,add_or_add_1,97,0.5,,a_op_b_eq,4.0,0.001,128,2,b_parity,odd,even,0.8590561151504517,0.8673469424247742,0.2527635991573334,5000,100,,,,101.6,add_or_add_1__p97__wd4.0__lr0.001__d128__l2__tf0.5__nfull__fmta_op_b_eq,wd=4.0,no,
!add_or_sub_10^6,!add_or_sub_10^6/add_or_sub_p97_wd0.1_lr0.001_d128_l2_tf0.5_ep1000000.json,add_or_sub_p97_wd0.1_lr0.001_d128_l2_tf0.5_ep1000000.json,add_or_sub,97,0.5,,a_op_b_eq,0.1,0.001,128,2,,,,0.817176878452301,0.8173894286155701,0.28125,1000000,20000,,,,18940.8,add_or_sub__p97__wd0.1__lr0.001__d128__l2__tf0.5__nfull__fmta_op_b_eq,wd=0.1,no,
!add_or_sub_10^6,!add_or_sub_10^6/add_or_sub_p97_wd2.0_lr0.001_d128_l2_tf0.5_ep1000000.json,add_or_sub_p97_wd2.0_lr0.001_d128_l2_tf0.5_ep1000000.json,add_or_sub,97,0.5,,a_op_b_eq,2.0,0.001,128,2,,,,0.817176878452301,0.8173894286155701,0.22789114713668823,1000000,20000,,,,19643.5,add_or_sub__p97__wd2.0__lr0.001__d128__l2__tf0.5__nfull__fmta_op_b_eq,wd=2.0,no,
!add_or_sub_train_samples_wd,!add_or_sub_train_samples_wd/add_or_sub_p97_wd0.0001_lr0.001_d128_l2_tf0.5_n4704_ep20000.json,add_or_sub_p97_wd0.0001_lr0.001_d128_l2_tf0.5_n4704_ep20000.json,add_or_sub,97,0.5,4704,a_op_b_eq,0.0001,0.001,128,2,,,,0.817176878452301,0.8173894286155701,0.27869898080825806,20000,400,,,,363.1,add_or_sub__p97__wd0.0001__lr0.001__d128__l2__tf0.5__n4704__fmta_op_b_eq,wd=0.0001; max_train_samples=4704,no,
!add_or_sub_train_samples_wd,!add_or_sub_train_samples_wd/add_or_sub_p97_wd0.001_lr0.001_d128_l2_tf0.5_n4704_ep20000.json,add_or_sub_p97_wd0.001_lr0.001_d128_l2_tf0.5_n4704_ep20000.json,add_or_sub,97,0.5,4704,a_op_b_eq,0.001,0.001,128,2,,,,0.817176878452301,0.8173894286155701,0.2774234712123871,20000,400,,,,363.1,add_or_sub__p97__wd0.001__lr0.001__d128__l2__tf0.5__n4704__fmta_op_b_eq,wd=0.001; max_train_samples=4704,no,
!add_or_sub_train_samples_wd,!add_or_sub_train_samples_wd/add_or_sub_p97_wd0.01_lr0.001_d128_l2_tf0.5_n4704_ep20000.json,add_or_sub_p97_wd0.01_lr0.001_d128_l2_tf0.5_n4704_ep20000.json,add_or_sub,97,0.5,4704,a_op_b_eq,0.01,0.001,128,2,,,,0.817176878452301,0.8173894286155701,0.27784863114356995,20000,400,,,,362.8,add_or_sub__p97__wd0.01__lr0.001__d128__l2__tf0.5__n4704__fmta_op_b_eq,wd=0.01; max_train_samples=4704,no,
!add_or_sub_train_samples_wd,!add_or_sub_train_samples_wd/add_or_sub_p97_wd0.0_lr0.001_d128_l2_tf0.5_n4704_ep20000.json,add_or_sub_p97_wd0.0_lr0.001_d128_l2_tf0.5_n4704_ep20000.json,add_or_sub,97,0.5,4704,a_op_b_eq,0.0,0.001,128,2,,,,0.817176878452301,0.8173894286155701,0.27869898080825806,20000,400,,,,364.2,add_or_sub__p97__wd0.0__lr0.001__d128__l2__tf0.5__n4704__fmta_op_b_eq,wd=0.0; max_train_samples=4704,no,
!add_or_sub_train_samples_wd,!add_or_sub_train_samples_wd/add_or_sub_p97_wd0.1_lr0.001_d128_l2_tf0.5_n4704_ep20000.json,add_or_sub_p97_wd0.1_lr0.001_d128_l2_tf0.5_n4704_ep20000.json,add_or_sub,97,0.5,4704,a_op_b_eq,0.1,0.001,128,2,,,,0.817176878452301,0.8173894286155701,0.28125,20000,400,,,,363.0,add_or_sub__p97__wd0.1__lr0.001__d128__l2__tf0.5__n4704__fmta_op_b_eq,wd=0.1; max_train_samples=4704,no,
add2_add_and_mul,add2_add_and_mul/add_or_add2_p97_wd1.0_lr0.001_d128_l2_tf0.5_ep1000.json,add_or_add2_p97_wd1.0_lr0.001_d128_l2_tf0.5_ep1000.json,add_or_add2,97,0.5,,a_op_b_eq,1.0,0.001,128,2,,,,0.817176878452301,0.817176878452301,0.27997449040412903,1000,20,,,,19.1,add_or_add2__p97__wd1.0__lr0.001__d128__l2__tf0.5__nfull__fmta_op_b_eq,default-like,yes,
!add_harder_than_sub,!add_harder_than_sub/add_or_sub_p97_wd1.0_lr0.001_d128_l2_tf0.5_ep1000.json,add_or_sub_p97_wd1.0_lr0.001_d128_l2_tf0.5_ep1000.json,add_or_sub,97,0.5,,a_op_b_eq,1.0,0.001,128,2,,,,0.817176878452301,0.817176878452301,0.2536139488220215,1000,20,,,,26.3,add_or_sub__p97__wd1.0__lr0.001__d128__l2__tf0.5__nfull__fmta_op_b_eq,default-like,yes,
!add_or_sub_train_samples_wd,!add_or_sub_train_samples_wd/add_or_sub_p97_wd1.0_lr0.001_d128_l2_tf0.5_n4704_ep20000.json,add_or_sub_p97_wd1.0_lr0.001_d128_l2_tf0.5_n4704_ep20000.json,add_or_sub,97,0.5,4704,a_op_b_eq,1.0,0.001,128,2,,,,0.817176878452301,0.817176878452301,0.2536139488220215,20000,400,,,,363.4,add_or_sub__p97__wd1.0__lr0.001__d128__l2__tf0.5__n4704__fmta_op_b_eq,max_train_samples=4704,no,
!old_div_or_sub_capacity_add_or_sub,!old_div_or_sub_capacity_add_or_sub/add_or_sub_p97_wd1.0_lr0.001_d128_l2_tf0.5_ep20000.json,add_or_sub_p97_wd1.0_lr0.001_d128_l2_tf0.5_ep20000.json,add_or_sub,97,0.5,,a_op_b_eq,1.0,0.001,128,2,,,,0.817176878452301,0.817176878452301,0.2536139488220215,20000,400,,,,389.2,add_or_sub__p97__wd1.0__lr0.001__d128__l2__tf0.5__nfull__fmta_op_b_eq,default-like,yes,
!add_harder_than_sub,!add_harder_than_sub/sub_or_add_p97_wd1.0_lr0.001_d128_l2_tf0.5_ep1000.json,sub_or_add_p97_wd1.0_lr0.001_d128_l2_tf0.5_ep1000.json,sub_or_add,97,0.5,,a_op_b_eq,1.0,0.001,128,2,,,,0.8131377100944519,0.8131377100944519,0.247023805975914,1000,20,,,,19.3,sub_or_add__p97__wd1.0__lr0.001__d128__l2__tf0.5__nfull__fmta_op_b_eq,default-like,yes,
!old_div_or_sub_capacity_add_or_sub,!old_div_or_sub_capacity_add_or_sub/div_or_sub_p97_wd1.0_lr0.001_d512_l2_tf0.5_ep20000.json,div_or_sub_p97_wd1.0_lr0.001_d512_l2_tf0.5_ep20000.json,div_or_sub,97,0.5,,a_op_b_eq,1.0,0.001,512,2,,,,0.7553145885467529,0.7555271983146667,0.30165815353393555,20000,400,,,,1722.7,div_or_sub__p97__wd1.0__lr0.001__d512__l2__tf0.5__nfull__fmta_op_b_eq,d_model=512,no,
!old_div_or_sub_capacity_add_or_sub,!old_div_or_sub_capacity_add_or_sub/div_or_sub_p97_wd1.0_lr0.001_d512_l4_tf0.5_ep20000.json,div_or_sub_p97_wd1.0_lr0.001_d512_l4_tf0.5_ep20000.json,div_or_sub,97,0.5,,a_op_b_eq,1.0,0.001,512,4,,,,0.7553145885467529,0.7555271983146667,0.024447279050946236,20000,400,,,,4139.9,div_or_sub__p97__wd1.0__lr0.001__d512__l4__tf0.5__nfull__fmta_op_b_eq,d_model=512; layers=4,no,
!old_div_or_sub_capacity_add_or_sub,!old_div_or_sub_capacity_add_or_sub/div_or_sub_p97_wd1.0_lr0.001_d512_l6_tf0.5_ep20000.json,div_or_sub_p97_wd1.0_lr0.001_d512_l6_tf0.5_ep20000.json,div_or_sub,97,0.5,,a_op_b_eq,1.0,0.001,512,6,,,,0.7553145885467529,0.7555271983146667,0.011479591950774193,20000,400,,,,5110.1,div_or_sub__p97__wd1.0__lr0.001__d512__l6__tf0.5__nfull__fmta_op_b_eq,d_model=512; layers=6,no,
